id,name,name_with_place,municipality,locality,modes,lines,line_count,has_bus,has_rail
de:08111:6011,Katzenbachstraße,Katzenbachstraße,Stuttgart,Stuttgart,Bus; Nachtbus,"81, N1",2,True,False
de:08111:2598,Kautt und Bux,Kautt und Bux,Stuttgart,Stuttgart,Bus,80,1,True,False
de:08111:370,Kelterstraße,Kelterstraße,Stuttgart,Stuttgart,Bus; Nachtbus,"U1E, N1",2,True,False
de:08111:6179,Kerschensteinerschule,Kerschensteinerschule,Stuttgart,Stuttgart,Bus; Nachtbus,"91, N3",2,True,False
de:08111:2430,Kirchheimer Straße,Kirchheimer Straße,Stuttgart,Stuttgart,Bus,66,1,True,False
de:08111:2382,Kleiner Ostring,Kleiner Ostring,Stuttgart,Stuttgart,Bus,58,1,True,False
de:08111:70,Kleiner Schlossplatz,Kleiner Schlossplatz,Stuttgart,Stuttgart,Bus,47,1,True,False
de:08111:2604,Knappenweg,Knappenweg,Stuttgart,Stuttgart,Bus; Nachtbus,"82, N1",2,True,False
de:08111:2563,Kolpingsiedlung,Kolpingsiedlung,Stuttgart,Stuttgart,Bus,70,1,True,False
de:08111:105,Kornwestheimer Straße,Kornwestheimer Straße,Stuttgart,Stuttgart,Bus,412,1,True,False
de:08111:2347,Kranstraße,Kranstraße,Stuttgart,Stuttgart,Bus,90,1,True,False
de:08111:2701,Kreuzstraße,Kreuzstraße,Stuttgart,Stuttgart,Bus; Nachtbus,"82, N1",2,True,False
de:08111:2241,Kunstakademie,Kunstakademie,Stuttgart,Stuttgart,Bus; Nachtbus,"44, N2",2,True,False
de:08111:6202,Kurmärker Kaserne,Kurmärker Kaserne,Stuttgart,Stuttgart,Bus,84,1,True,False
de:08111:2581,Kurt-Schumacher-Straße,Kurt-Schumacher-Straße,Stuttgart,Stuttgart,Bus; Nachtbus,"72, N9",2,True,False
de:08111:2437,Kühwasen,Kühwasen,Stuttgart,Stuttgart,Bus,66,1,True,False
