id,name,municipality,locality,modes,lines,line_count,selection_reason
de:08116:2115,Hof,Leinfelden-Echterdingen,Stetten (Leinfelden-Echt.),Bus; Nachtbus,"X7, 76, 77, 812, 813, 814, 818A, N18",8,surrounding_city_many_lines
de:08116:2111,Hohlweg,Leinfelden-Echterdingen,Stetten (Leinfelden-Echt.),Bus; Nachtbus,"76, 77, 818, 818A, N18",5,surrounding_city_many_lines
de:08116:2112,Holderweg,Leinfelden-Echterdingen,Stetten (Leinfelden-Echt.),Bus; Nachtbus,"76, 77, 818, 818A, N18",5,surrounding_city_many_lines
de:08116:2114,Kasparswald,Leinfelden-Echterdingen,Stetten (Leinfelden-Echt.),Bus; Nachtbus,"X7, 76, 77, 812, 813, 814, 816A, 818A, N18",9,surrounding_city_many_lines
de:08116:2108,Kirche,Leinfelden-Echterdingen,Musberg,Bus,"82, 86, 814, 818, 818A",5,surrounding_city_many_lines
de:08116:2110,Klingenstraße,Leinfelden-Echterdingen,Musberg,Bus; Nachtbus,"82, 86, 818, 818A, N18",5,surrounding_city_many_lines
de:08116:175,Leinfelden,Leinfelden-Echterdingen,Leinfelden,Bus; Nachtbus; S-Bahn; SEV-Bus; Stadtbahn,"S2, S3, S24, U5, U, 82, 86, 818, 818A, 826, 826A, N18, S2E",13,surrounding_city_rail
de:08116:2109,Ludwigstraße,Leinfelden-Echterdingen,Musberg,Bus,"82, 86, 814, 818, 818A",5,surrounding_city_many_lines
de:08116:7182,Messe West,Leinfelden-Echterdingen,Echterdingen,Bus; SEV-Bus; Stadtbahn,"U6, 812, 813, 828, X82, X10, X60, SXE, X3",9,surrounding_city_rail
de:08116:2069,Neuer Markt,Leinfelden-Echterdingen,Leinfelden,Bus; Nachtbus; Stadtbahn,"U5, U, 814, 818, N18",5,surrounding_city_rail
de:08116:2105,Oberaichen,Leinfelden-Echterdingen,Leinfelden,Bus; Nachtbus; S-Bahn; SEV-Bus,"S2, S3, S24, 818, 818A, N18, S2E",7,surrounding_city_rail
de:08116:2106,Oberaichen Waldheim,Leinfelden-Echterdingen,Leinfelden,Bus; Nachtbus,"82, 86, 818, 818A, N18",5,surrounding_city_many_lines
de:08116:2099,Riedweg,Leinfelden-Echterdingen,Leinfelden,Bus; Nachtbus,"82, 86, 814, 826, 826A, N18",6,surrounding_city_many_lines
de:08116:7103,Schönbuchstraße,Leinfelden-Echterdingen,Leinfelden,Bus; Nachtbus,"82, 86, 814, 826, 826A, N18",6,surrounding_city_many_lines
de:08116:2139,Sielminger Straße,Leinfelden-Echterdingen,Stetten (Leinfelden-Echt.),Bus; Nachtbus,"76, 77, 818, 818A, N18",5,surrounding_city_many_lines
de:08116:2138,Sonnenhalde,Leinfelden-Echterdingen,Musberg,Bus,"82, 86, 814, 818, 818A",5,surrounding_city_many_lines
de:08116:7176,Spielkartenmuseum.,Leinfelden-Echterdingen,Leinfelden,Bus; Nachtbus,"814, 818, 818A, 826, 826A, N18",6,surrounding_city_many_lines
de:08116:7177,Sportzentrum,Leinfelden-Echterdingen,Leinfelden,Bus,"828, X82",2,surrounding_city_keyword
de:08116:7180,Stadionstraße,Leinfelden-Echterdingen,Echterdingen,Bus; Stadtbahn,"U6, 828, X82",3,surrounding_city_rail
de:08116:2147,Stadtbücherei,Leinfelden-Echterdingen,Leinfelden,Bus; Nachtbus,"82, 86, 818, 818A, 826, 826A, N18",7,surrounding_city_many_lines
de:08116:174,Unteraichen,Leinfelden-Echterdingen,Leinfelden,Bus; Stadtbahn,"U5, U, 818",3,surrounding_city_rail
de:08116:7179,Waldhornstraße,Leinfelden-Echterdingen,Echterdingen,Bus; Nachtbus,"76, 77, 818, 818A, 828, X82, N18",7,surrounding_city_many_lines
de:08115:4547,Albert-Schweitzer-Gymnasium,Leonberg,Leonberg,Bus; Nachtbus,"631, 631A, 632, 632A, 634, 642, 643, 651, 651A, 652, 653, 653A, 654, 660, N62, N63",16,surrounding_city_many_lines
de:08115:6051,Alter Bahnhofsweg,Leonberg,Höfingen,Bus,"651, 651A",2,surrounding_city_keyword
de:08115:2352,Altstadt,Leonberg,Leonberg,Bus; Nachtbus,"X2, 92, 635, 643, 650, 651, 651A, N63, X60",9,surrounding_city_many_lines
de:08115:2345,Belforter Platz,Leonberg,Leonberg,Bus; Nachtbus,"631, 631A, 632, 632A, 634, 643, 652, 653, 653A, 654, 660, N62",12,surrounding_city_many_lines
de:08115:4543,Brennerstraße,Leonberg,Eltingen,Bus,"631, 631A, 632, 632A, 651",5,surrounding_city_many_lines
de:08115:4602,Büsnauer Straße 41,Leonberg,Warmbronn,Bus; Nachtbus,"631, 631A, 632, 632A, 747, N63",6,surrounding_city_many_lines
de:08115:4601,Büsnauer Straße 6,Leonberg,Warmbronn,Bus; Nachtbus,"631, 631A, 632, 632A, 747, N63",6,surrounding_city_many_lines
de:08115:5824,Carl-Zeiss-Straße,Leonberg,Gebersheim,Bus; Nachtbus,"634, 653, 653A, 654, N62",5,surrounding_city_many_lines
de:08115:6055,Feuerbacher Straße,Leonberg,Leonberg,Bus,"635, 643, 650, 651, 651A",5,surrounding_city_many_lines
de:08115:2322,Gartenstadt,Leonberg,Leonberg,Bus; Nachtbus,"634, 652, 653, 653A, 654, 660, N62",7,surrounding_city_many_lines
de:08115:2339,Göppinger Straße,Leonberg,Ramtel,Bus; Nachtbus; Ruftaxi,"92, 640, 642, N63, RT644",5,surrounding_city_many_lines
de:08115:4538,Hauptstraße 77,Leonberg,Warmbronn,Bus; Nachtbus,"631, 631A, 632, 632A, 747, N63",6,surrounding_city_many_lines
de:08115:2326,Hirschberger Straße,Leonberg,Ramtel,Bus; Nachtbus; Ruftaxi,"92, 640, 642, N63, RT644",5,surrounding_city_many_lines
de:08115:1003,Höfingen,Leonberg,Höfingen,R-Bahn; S-Bahn,"S6, S60, S61, S62, RE4, RE14",6,surrounding_city_rail
de:08115:2329,Johannes-Kepler-Gymnasium,Leonberg,Leonberg,Bus; Nachtbus,"X2, 92, 631, 631A, 632, 632A, 634, 635, 640, 650, 651, 651A, 652, 653, 653A, 654, 660, N62, N63",19,surrounding_city_many_lines
de:08115:2327,Krankenhaus,Leonberg,Leonberg,Bus; Nachtbus,"631A, 632A, 634, 640, 652, 653, 653A, 654, 660, N62",10,surrounding_city_many_lines
de:08115:4539,Lauerhalde,Leonberg,Warmbronn,Bus; Nachtbus,"631, 631A, 632, 632A, 747, N63",6,surrounding_city_many_lines
de:08115:7301,Leonberg,Leonberg,Leonberg,Bus; Nachtbus; R-Bahn; Ruftaxi; S-Bahn; SEV-Bus,"S6, S60, S61, S62, RE4, RE14, SVG, X2, 92, 631, 631A, 632, 632A, 634, 635, 640, 641, 642, 643, 650, 651, 651A, 652, 653, 653A, 654, 660, N62, N63, X60, S6E, S60E, RT644",33,surrounding_city_rail
de:08115:2328,Neuköllner Platz,Leonberg,Eltingen,Bus; Ruftaxi,"92, 631, 631A, 632, 632A, 640, 641, 651, 651A, RT644",10,surrounding_city_many_lines
de:08115:4541,Niederhofen,Leonberg,Eltingen,Bus; Nachtbus,"631, 631A, 632, 632A, N63",5,surrounding_city_many_lines
de:08115:4537,Ortsmitte,Leonberg,Warmbronn,Bus,"631, 631A, 632, 632A, 747",5,surrounding_city_many_lines
de:08115:4550,Rathaus,Leonberg,Gebersheim,Bus; Nachtbus,"634, 653, 653A, 654, N62",5,surrounding_city_many_lines
de:08115:2333,Römer-/Poststraße,Leonberg,Leonberg,Bus; Nachtbus; Ruftaxi,"92, 631, 631A, 632, 632A, 634, 640, 641, 642, 643, 651, 651A, 652, 653, 653A, 654, 660, N62, N63, RT644",20,surrounding_city_many_lines
de:08115:1302,Rutesheim,Leonberg,Leonberg,Bus; R-Bahn; S-Bahn; SEV-Bus,"S6, S60, S61, S62, RE4, RE14, 654, 654A, 655, 655A, S6E, S60E",12,surrounding_city_rail
de:08115:7030,Schopfloch,Leonberg,Eltingen,Bus; Nachtbus,"631, 631A, 632, 632A, N63",5,surrounding_city_many_lines
de:08115:4549,Talackerstraße,Leonberg,Warmbronn,Bus; Nachtbus,"631, 631A, 632, 632A, 747, N63",6,surrounding_city_many_lines
de:08115:2355,Törlensweg,Leonberg,Leonberg,Bus; Nachtbus,"X2, 92, 635, 640, 650, 651, 651A, N63",8,surrounding_city_many_lines
de:08118:3426,Apotheke,Ludwigsburg,Neckarweihingen,Bus; Nachtbus,"421, 421A, 428, 430, 430A, N41",6,surrounding_city_many_lines
de:08118:3408,Arsenalplatz,Ludwigsburg,Ludwigsburg,Bus; Nachtbus,"421, 421A, 422, 422A, 424, 425, 425A, 426, 427, 427A, 430, 430A, 431, 433, 433A, 443, 444, 533, N41, N42, N43",21,surrounding_city_many_lines
de:08118:7401,Bahnhof (Arena),Ludwigsburg,Ludwigsburg,Bus; SEV-Bus,"420, 532, S4E, S5E, MEX17E",5,surrounding_city_many_lines
de:08118:7419,Bildungszentrum West,Ludwigsburg,Ludwigsburg,Bus,"421A, 422A, 425A, 427A, 433A",5,surrounding_city_many_lines
de:08118:5497,Blühendes Barock,Ludwigsburg,Ludwigsburg,Bus; Nachtbus,"422, 422A, 425, 425A, 426, 431, 433, 433A, 443, N42, N43",11,surrounding_city_many_lines
de:08118:5561,Burghaldenstraße,Ludwigsburg,Poppenweiler,Bus; Nachtbus,"430, 430A, 433, 433A, N43",5,surrounding_city_many_lines
